DATE,REGION,REVENUE,COGS,FORECASTED_REVENUE
17-04-2023,West Zone,1625.67,265.2,4244.85
17-04-2023,South Zone,357.05,3718.57,2971.46
17-04-2023,Central Zone,1918.64,1588.23,113.55
18-04-2023,North Zone,1246.6,3141.54,5928.77
18-04-2023,East Zone,5810.13,912.88,2557.74
18-04-2023,West Zone,333.91,3189.56,1978.87
18-04-2023,South Zone,5757.63,839.43,886.44
18-04-2023,Central Zone,2574.25,199.21,2953.63
19-04-2023,North Zone,356.18,2193.99,1678.53
19-04-2023,East Zone,9318.2,62.12,3753.76
19-04-2023,West Zone,1620.18,133.15,1526.28
19-04-2023,South Zone,804.41,3629.23,1833.52
19-04-2023,Central Zone,131.85,995.37,2932.1
20-04-2023,North Zone,2654.74,6349.65,4224.88
20-04-2023,East Zone,6668.91,2203.27,8274.46
20-04-2023,West Zone,1984.38,1644.31,1461.95
20-04-2023,South Zone,5925.15,1094.55,1774.93
20-04-2023,Central Zone,2294.31,191.2,4631.16
21-04-2023,North Zone,320.28,194.49,8243.62
21-04-2023,East Zone,3754.27,1594.81,410.56
21-04-2023,West Zone,3106.32,1016.89,390.37
21-04-2023,South Zone,1987.79,4409.43,2686.13
21-04-2023,Central Zone,5302.59,745.78,2503.56
22-04-2023,North Zone,1772.1,3559.41,2160.44
22-04-2023,East Zone,10749.56,5097.61,80.46
22-04-2023,West Zone,3484.87,956.35,3039.05
22-04-2023,South Zone,1591.65,77.9,4245.72
22-04-2023,Central Zone,865.91,277.77,7730.69
23-04-2023,North Zone,2469.43,378.51,2844.1
23-04-2023,East Zone,5704.87,2541.64,2932.26
23-04-2023,West Zone,2226.74,2668.72,4276.89
23-04-2023,South Zone,3991.72,4128.11,3920.85
23-04-2023,Central Zone,2602.03,371.01,1685.62
24-04-2023,North Zone,6684.87,608.41,355.09
24-04-2023,East Zone,1188.62,2341.19,5400.09
24-04-2023,West Zone,3367.78,1328.24,2952.85
24-04-2023,South Zone,1617.72,1597.49,107.66
24-04-2023,Central Zone,115.38,1894.76,4982.13
25-04-2023,North Zone,66.01,142.69,1700.53
25-04-2023,East Zone,2737.05,891.26,1282.88
25-04-2023,West Zone,5333.36,3087.47,2462.4
25-04-2023,South Zone,9837.58,1479.23,3788.34
25-04-2023,Central Zone,163.98,3293.57,8806.4
26-04-2023,North Zone,4549.67,1055.9,113.26
26-04-2023,East Zone,3455.87,2680.89,1561.06
26-04-2023,West Zone,3308.24,1109.4,177.37
26-04-2023,South Zone,1645.92,775.95,7957.79
26-04-2023,Central Zone,1005.36,161.82,5223.3
27-04-2023,North Zone,3563.92,2121.92,1182.46
27-04-2023,East Zone,504.96,4779.14,5498.32
27-04-2023,West Zone,756.09,1544.2,3760.85
27-04-2023,South Zone,414.61,82,4044.81
27-04-2023,Central Zone,13571.45,98.7,5202.27
28-04-2023,North Zone,1563.43,674.79,767.71
28-04-2023,East Zone,8838.23,1769.95,4012.86
28-04-2023,West Zone,4542.12,2606.92,3188.93
28-04-2023,South Zone,248.06,296.45,1820.63
28-04-2023,Central Zone,620.89,1458.81,5737.1
29-04-2023,North Zone,9884.67,406.46,3740.32
29-04-2023,East Zone,5088.25,278.01,4169.93
29-04-2023,West Zone,2944.3,1488.75,1541.57
29-04-2023,South Zone,876.36,4614.63,8819.52
29-04-2023,Central Zone,23.77,2310.29,69.98
30-04-2023,North Zone,6363.09,1595.58,4899.87
30-04-2023,East Zone,1608.32,696.51,5496.96
30-04-2023,West Zone,1034.62,432.89,2219.01
30-04-2023,South Zone,812.4,3750.5,1315.07
30-04-2023,Central Zone,7106.89,739.07,3047.34
01-05-2023,North Zone,2102,1301.16,386.96
01-05-2023,East Zone,2223.5,135.41,4416.55
01-05-2023,West Zone,5630.17,129.44,3009.16
01-05-2023,South Zone,4822.66,2563.39,147.54
01-05-2023,Central Zone,2474.21,4856.13,10634.79
02-05-2023,North Zone,7637.02,1446.1,2182.27
02-05-2023,East Zone,611.96,3289.28,5413.34
02-05-2023,West Zone,46.59,2123.8,1520.52
02-05-2023,South Zone,5995.2,197.04,4208.75
02-05-2023,Central Zone,722.47,98.52,2400.83
03-05-2023,North Zone,8549.74,6440.13,1300.61
03-05-2023,East Zone,599.78,398.47,4943.53
03-05-2023,West Zone,771.72,2242.46,456.86
03-05-2023,South Zone,5679.38,607.83,2487.32
03-05-2023,Central Zone,3960.22,1638.34,8436.59
04-05-2023,North Zone,782.4,611.88,2211.79
04-05-2023,East Zone,6542.1,1161.03,8720.64
04-05-2023,West Zone,1310.9,1572.33,1430.31
04-05-2023,South Zone,567.87,6198.75,2208.86
04-05-2023,Central Zone,7236.63,214.06,2506.69
05-05-2023,North Zone,164.99,1944.24,8772.23
05-05-2023,East Zone,1296.22,1597.8,3338.82
05-05-2023,West Zone,1935.3,116.47,2452.48
05-05-2023,South Zone,5681.71,915.65,184.51
05-05-2023,Central Zone,5160.33,2678.63,685.15
06-05-2023,North Zone,1505.41,2287.74,274.6
06-05-2023,East Zone,1124.64,411.21,1492.74
06-05-2023,West Zone,1691.88,1319.86,9782.65
06-05-2023,South Zone,4169.26,3073.86,3790.49
06-05-2023,Central Zone,7572.74,215.85,1399.6
07-05-2023,North Zone,50.14,88.8,2237.98
07-05-2023,East Zone,5203.52,3328.27,130.7
07-05-2023,West Zone,2422.38,39.65,5587.77
07-05-2023,South Zone,116.19,254.88,1490.21
07-05-2023,Central Zone,2399.7,1572.37,86.88
08-05-2023,North Zone,2150.61,705.13,5058.63
08-05-2023,East Zone,4674.31,422.46,1136.02
08-05-2023,West Zone,1211.52,3332.3,2200.33
08-05-2023,South Zone,1385.16,2831.22,1522.2
08-05-2023,Central Zone,3594.15,249.59,3055.66
09-05-2023,North Zone,4519.35,1130.62,9546.29
09-05-2023,East Zone,5107.73,3633.89,2823.34
09-05-2023,West Zone,1915,895.35,361.86
09-05-2023,South Zone,2741.45,407.71,2582.2
09-05-2023,Central Zone,2318.21,1923.62,93.77
10-05-2023,North Zone,133.26,337.87,1575.88
10-05-2023,East Zone,2493.94,3115.57,286.45
10-05-2023,West Zone,5272.38,708.79,1253.86
10-05-2023,South Zone,4193.96,873.77,8533.62
10-05-2023,Central Zone,807.24,1548.76,887.15
11-05-2023,North Zone,3832.75,438,5496.23
11-05-2023,East Zone,2927.59,2799.91,1818.73
11-05-2023,West Zone,7363.97,313.32,1660.03
11-05-2023,South Zone,1893.94,3316.85,6702.5
11-05-2023,Central Zone,161.9,483.06,1917.19
12-05-2023,North Zone,7370.85,1584.61,8343.32
12-05-2023,East Zone,3746.57,1736.4,457.83
12-05-2023,West Zone,677.78,1014.55,4369.69
12-05-2023,South Zone,777.67,1746.81,652.97
12-05-2023,Central Zone,1714.82,934.15,1673.49
13-05-2023,North Zone,1470.23,1210.09,918.41
13-05-2023,East Zone,911.05,198.95,345.44
13-05-2023,West Zone,1647.45,2901.96,3356.27
13-05-2023,South Zone,5066.94,219.46,1421.68
13-05-2023,Central Zone,2259.07,923.71,4819.77
14-05-2023,North Zone,1141.19,627.66,1604.56
14-05-2023,East Zone,4871.87,557.55,228.54
14-05-2023,West Zone,2943.53,304.46,7302.22
14-05-2023,South Zone,2228.32,1299.83,2341.1
14-05-2023,Central Zone,1797.91,3048.65,1089.99
15-05-2023,North Zone,593.9,1187.98,6025.71
15-05-2023,East Zone,5805.98,771.45,1366.84
15-05-2023,West Zone,3281.13,4528.49,1687.29
15-05-2023,South Zone,5162.95,248.48,6678.16
15-05-2023,Central Zone,855.69,1131.84,256.31
16-05-2023,North Zone,3480.47,1455.07,1198.62
16-05-2023,East Zone,1618.49,2317.16,7377.85
16-05-2023,West Zone,4010.29,2668.5,4901.02
16-05-2023,South Zone,522.75,120.62,3196.41
16-05-2023,Central Zone,6276.73,789.69,708.6
17-05-2023,North Zone,2148.62,589.51,3726.92
17-05-2023,East Zone,195.9,483.7,2475.06
17-05-2023,West Zone,937.08,4978.12,4725.29
17-05-2023,South Zone,10096.47,1142.42,1518.34
17-05-2023,Central Zone,2365.18,278.11,2188.69
18-05-2023,North Zone,1800.03,385.18,1865.82
18-05-2023,East Zone,8179.37,750.08,1136.69
18-05-2023,West Zone,1482.56,1640.67,3594.41
18-05-2023,South Zone,4547.08,1531.08,8953.8
18-05-2023,Central Zone,522.97,4041.56,177.56
19-05-2023,North Zone,2793.2,750.81,1458.23
19-05-2023,East Zone,1581.09,1003.06,3061.52
19-05-2023,West Zone,1292.47,659.66,2206.63
19-05-2023,South Zone,616.04,245.75,10899.58
19-05-2023,Central Zone,10238.23,6429.25,129.38
20-05-2023,North Zone,508.8,217.09,1084.85
20-05-2023,East Zone,877.29,1376.22,2368.51
20-05-2023,West Zone,1827.2,1814.51,38.41
20-05-2023,South Zone,541.95,2589.92,4506.29
20-05-2023,Central Zone,10558.94,682.71,6292.91
21-05-2023,North Zone,8228.67,4099.76,2506.44
21-05-2023,East Zone,1966.94,2770.3,2495.36
21-05-2023,West Zone,2313.07,576.07,9691.46
21-05-2023,South Zone,218.67,725.32,4372.56
21-05-2023,Central Zone,6238.12,2920.16,1412.94
22-05-2023,North Zone,4747.58,7.41,1622.91
22-05-2023,East Zone,1564.54,53,944.62
22-05-2023,West Zone,2029.92,114.72,1295.31
22-05-2023,South Zone,3371.82,3038.84,4673.72
22-05-2023,Central Zone,1961.76,4614.83,4278.91
23-05-2023,North Zone,629.14,3607.67,1294.09
23-05-2023,East Zone,696.18,12.54,3310.39
23-05-2023,West Zone,1436.15,1632.78,8407.24
23-05-2023,South Zone,10269.84,518.91,1333.18
23-05-2023,Central Zone,1327.34,111.39,107.56
24-05-2023,North Zone,326.17,612.09,1690.68
24-05-2023,East Zone,15860.96,385.91,14785.94
24-05-2023,West Zone,2074.96,4465.14,108.46
24-05-2023,South Zone,230.88,2048.15,678.19
24-05-2023,Central Zone,426.26,1016.15,998.59
25-05-2023,North Zone,592.59,501.84,3197.89
25-05-2023,East Zone,3174.66,5838.16,10044.51
25-05-2023,West Zone,1448.63,72.81,2316.36
25-05-2023,South Zone,7869.28,2182.5,241.85
25-05-2023,Central Zone,4976.78,241.08,1598.61
26-05-2023,North Zone,1029.8,451.8,7236.29
26-05-2023,East Zone,11384.07,1792.76,934.45
26-05-2023,West Zone,2922.83,663.81,1660.88
26-05-2023,South Zone,46.83,2899.49,5215.09
26-05-2023,Central Zone,1655.36,1364.24,1811.14
27-05-2023,North Zone,3680.9,1064.15,2383.18
27-05-2023,East Zone,535.63,743.77,2895.12
27-05-2023,West Zone,3992.15,2643.83,3244.08
27-05-2023,South Zone,1458.37,306.25,1463.26
27-05-2023,Central Zone,1335.22,409.71,869.37
28-05-2023,North Zone,1413.83,5148.9,3738.58
28-05-2023,East Zone,9762.54,2559.12,799.78
28-05-2023,West Zone,1748.38,1275.06,888.01
28-05-2023,South Zone,3123.54,31.27,6625.62
28-05-2023,Central Zone,3146.54,1504.79,6595.2
29-05-2023,North Zone,3690.77,4115.62,3766.32
29-05-2023,East Zone,1307.71,1835.6,4542.66
29-05-2023,West Zone,7160.79,9.61,4050.1
29-05-2023,South Zone,3222.97,3196.83,4342.1
29-05-2023,Central Zone,1760.17,32.44,1863.95
30-05-2023,North Zone,2204.67,3054.84,732.7
30-05-2023,East Zone,683.95,719.65,5320.99
30-05-2023,West Zone,5339.93,2381.99,3272.32
30-05-2023,South Zone,8648.63,2166.38,11069.36
30-05-2023,Central Zone,3111.29,2160.63,519.54
31-05-2023,North Zone,5521.81,962.26,4038.33
31-05-2023,East Zone,299.53,419.88,2279.65
31-05-2023,West Zone,1494.3,883.3,1178.42
31-05-2023,South Zone,2296.37,294.4,1664.45
31-05-2023,Central Zone,1882.47,3671.38,2856.74
01-06-2023,North Zone,6229.97,1995.93,1942.27
01-06-2023,East Zone,3258.59,678.51,2699.49
01-06-2023,West Zone,4930.25,4070.93,9743.49
01-06-2023,South Zone,3068.99,1466.81,3299.42
01-06-2023,Central Zone,1193.46,25.97,211.65
02-06-2023,North Zone,866.85,442.86,2207.89
02-06-2023,East Zone,1173.18,1457.76,6378.74
02-06-2023,West Zone,1428.74,215,867.13
02-06-2023,South Zone,4775.69,2743.82,77.7
02-06-2023,Central Zone,3380.47,584.98,2274.14
03-06-2023,North Zone,2302.79,5018.2,1767.97
03-06-2023,East Zone,3403.94,52.66,11951.96
03-06-2023,West Zone,2214.46,870.55,963.53
03-06-2023,South Zone,4304.03,2195.13,2259.65
03-06-2023,Central Zone,3930.38,510.72,114.55
04-06-2023,North Zone,1229.1,2415.15,2023.65
04-06-2023,East Zone,1581.6,155.27,738.41
04-06-2023,West Zone,2718.58,1346.59,3185.44
04-06-2023,South Zone,3724.52,681.99,4804.73
04-06-2023,Central Zone,1984.4,1872.48,1150.35
05-06-2023,North Zone,7536.69,2541.87,887.8
05-06-2023,East Zone,4860.63,2221.39,788.75
05-06-2023,West Zone,4405.18,908.09,1818.27
05-06-2023,South Zone,763.92,3520.07,10900.99
05-06-2023,Central Zone,913.66,210.06,3509.65
06-06-2023,North Zone,892.42,537.45,2060.6
06-06-2023,East Zone,7794.84,1348.57,3206.11
06-06-2023,West Zone,188.23,586.47,4139.38
06-06-2023,South Zone,7658.13,4606,2192.41
06-06-2023,Central Zone,1539.57,1172.64,7453.8
07-06-2023,North Zone,1486.72,154.69,3463.96
07-06-2023,East Zone,4872,1116.42,6215.67
07-06-2023,West Zone,4623.14,1462.01,4887.67
07-06-2023,South Zone,373.48,518.87,1159.53
07-06-2023,Central Zone,4335.67,3119.3,704.46
08-06-2023,North Zone,2769.03,1316.78,6386.03
08-06-2023,East Zone,1511.88,2544.47,4762.22
08-06-2023,West Zone,444.39,671.73,20.36
08-06-2023,South Zone,3475.08,468.11,64.64
08-06-2023,Central Zone,5871.45,2626.79,1829.65
09-06-2023,North Zone,3613.05,382.59,3062.3
09-06-2023,East Zone,5934.34,595.98,4360.56
09-06-2023,West Zone,219.02,819.46,362.35
09-06-2023,South Zone,842.13,1747.95,2785.08
09-06-2023,Central Zone,83.13,747.55,903.89
10-06-2023,North Zone,2730.71,1581.29,5590.73
10-06-2023,East Zone,5911.68,2391.42,2008.21
10-06-2023,West Zone,3143.06,2441.01,713.19
10-06-2023,South Zone,1330.84,86.58,6512.26
10-06-2023,Central Zone,3858,1554.61,1950.69
11-06-2023,North Zone,8967.79,1104.89,75.77
11-06-2023,East Zone,1.77,467.78,8549.37
11-06-2023,West Zone,2775.86,1129.18,1406.08
11-06-2023,South Zone,622.67,1467.38,262.61
11-06-2023,Central Zone,2167.34,3187.26,4202.09
12-06-2023,North Zone,882.37,6161.24,8019.1
12-06-2023,East Zone,735.18,1225.85,1523.26
12-06-2023,West Zone,5409.38,569.59,4876.87
12-06-2023,South Zone,4756.34,5.36,544.14
12-06-2023,Central Zone,5437.29,2102.04,2079.36
13-06-2023,North Zone,6029.17,3649.85,1004.89
13-06-2023,East Zone,429.05,332.25,1130.91
13-06-2023,West Zone,9130.62,637.8,13428.71
13-06-2023,South Zone,2018.96,1479,141.62
13-06-2023,Central Zone,1056.02,1700.69,3210.95
14-06-2023,North Zone,2965.74,1548.34,5890.07
14-06-2023,East Zone,1501.54,4.96,2365.08
14-06-2023,West Zone,4377.62,2877.95,1620.87
14-06-2023,South Zone,4196.38,4505.33,9266.03
14-06-2023,Central Zone,6713.94,569.4,1091.91
15-06-2023,North Zone,10311.3,153.39,1494.03
15-06-2023,East Zone,3285.03,1569.59,12062.52
15-06-2023,West Zone,311.95,1404.83,2584.77
15-06-2023,South Zone,2939.47,1690.01,783.21
15-06-2023,Central Zone,1710.28,2695.63,1626.75
16-06-2023,North Zone,5035.23,55.42,3110.63
16-06-2023,East Zone,2500.79,943.12,3699.2
16-06-2023,West Zone,1065.28,1905.9,1307.31
16-06-2023,South Zone,1155.18,851.91,2463.54
16-06-2023,Central Zone,360.66,983.76,278.63
17-06-2023,North Zone,3508.6,1725.84,2799.72
17-06-2023,East Zone,2920.79,21.56,5413.76
17-06-2023,West Zone,4165.62,4843.12,1808.12
17-06-2023,South Zone,2611.01,488.6,1842.92
17-06-2023,Central Zone,393.76,53.23,2082.69
18-06-2023,North Zone,3317.62,895.99,1869.63
18-06-2023,East Zone,2033.21,733.32,1404.15
18-06-2023,West Zone,286.61,122.04,2268.63
18-06-2023,South Zone,5867.53,5690.68,9239.04
18-06-2023,Central Zone,5794.94,443.5,2177.4
19-06-2023,North Zone,3265.25,1055.15,990.02
19-06-2023,East Zone,1797.32,364.04,1196.4
19-06-2023,West Zone,897.52,2609.3,853.12
19-06-2023,South Zone,339.24,612.32,5817.65
19-06-2023,Central Zone,5416.97,537.21,2663.89
20-06-2023,North Zone,10957.39,2621.74,266.59
20-06-2023,East Zone,45.52,139.54,4574.63
20-06-2023,West Zone,2101.15,2518.21,1113.53
20-06-2023,South Zone,360.84,145.57,2079.49
20-06-2023,Central Zone,1745.47,1011.06,8121.72
21-06-2023,North Zone,1083.22,137.6,1310.13
21-06-2023,East Zone,698.75,4306.77,1060.89
21-06-2023,West Zone,21.66,277.87,3565.25
21-06-2023,South Zone,5497.36,467.34,3377.04
21-06-2023,Central Zone,3242.39,244.77,909.96
22-06-2023,North Zone,3688.95,876.68,3553.7
22-06-2023,East Zone,1276.04,2852.82,3507.63
22-06-2023,West Zone,2915.02,736.02,1088.96
22-06-2023,South Zone,3083.35,1513.59,552.1
22-06-2023,Central Zone,1036.61,489.52,2605.07
23-06-2023,North Zone,73.55,278.6,48.3
23-06-2023,East Zone,1768.24,87.15,2275.72
23-06-2023,West Zone,5372,2941.21,1879.64
23-06-2023,South Zone,2501.53,399.34,1622.13
23-06-2023,Central Zone,469.9,1736.59,3461.87
24-06-2023,North Zone,3592.8,2727.29,5813.77
24-06-2023,East Zone,2189.98,3198.6,1154.81
24-06-2023,West Zone,3500.97,1724,2060.35
24-06-2023,South Zone,5700.51,1118.16,6734.82
24-06-2023,Central Zone,2952.72,1810.68,3522.18
25-06-2023,North Zone,5318.16,1072.78,4570.33
25-06-2023,East Zone,2573.9,1793.91,2492.01
25-06-2023,West Zone,949.04,504.48,5841.06
25-06-2023,South Zone,2070.46,558.4,259.43
25-06-2023,Central Zone,1327.69,972.75,100.96
26-06-2023,North Zone,3320.95,3311.81,2584.35
26-06-2023,East Zone,15.81,1108.97,255.9
26-06-2023,West Zone,1862.76,1962.11,3082.15
26-06-2023,South Zone,50.27,535.36,925.45
26-06-2023,Central Zone,8203.73,204.57,5583.52
27-06-2023,North Zone,5301.85,2780.47,627.3
27-06-2023,East Zone,2446.4,640.79,6630.71
27-06-2023,West Zone,878.15,4946.57,2983.1
27-06-2023,South Zone,3129.4,186.9,1011
27-06-2023,Central Zone,7525.01,1472.81,7390.41
28-06-2023,North Zone,10750.88,552.95,30.85
28-06-2023,East Zone,295.48,1912.36,1154.7
28-06-2023,West Zone,703.32,3343.27,2941.17
28-06-2023,South Zone,966.29,2961.51,2078.97
28-06-2023,Central Zone,4328.17,54.48,9731.85
29-06-2023,North Zone,160.98,3274.79,744.3
29-06-2023,East Zone,4399.22,770.67,859.39
29-06-2023,West Zone,483.67,203.23,5340.78
29-06-2023,South Zone,2477.31,330.83,415.76
29-06-2023,Central Zone,2797.21,1534.68,2165.5
30-06-2023,North Zone,5563.86,3518.62,705.54
30-06-2023,East Zone,578.89,184.6,94.3
30-06-2023,West Zone,3197.17,219.68,2231.7
30-06-2023,South Zone,1083.87,64.2,8778.32
30-06-2023,Central Zone,1223.15,710.98,768.53
01-07-2023,North Zone,2667.28,885.84,2540.67
01-07-2023,East Zone,528.31,2337.25,5055.05
01-07-2023,West Zone,1669.32,368.95,4291.5
01-07-2023,South Zone,10601.36,3336.49,1959.18
01-07-2023,Central Zone,748.51,1816.05,931.36
02-07-2023,North Zone,2208.09,164.76,1264.02
02-07-2023,East Zone,9603.4,3180.69,8862.77
02-07-2023,West Zone,1677.76,2651.01,347.87
02-07-2023,South Zone,1050.29,1964.24,3887.46
02-07-2023,Central Zone,1232.75,914.93,2925.84
03-07-2023,North Zone,7771.8,1089.21,1051.92
03-07-2023,East Zone,976.09,254.65,2540.17
03-07-2023,West Zone,922.78,1648.16,256.36
03-07-2023,South Zone,2589.66,1368.18,6944.23
03-07-2023,Central Zone,118.6,1853.54,587.15
04-07-2023,North Zone,1168.09,2683.55,5980.88
04-07-2023,East Zone,8001.38,2121.62,623.57
04-07-2023,West Zone,2421.72,2180.15,4872.16
04-07-2023,South Zone,7605.54,542.81,3850.63
04-07-2023,Central Zone,145.41,1500.65,5420.96
05-07-2023,North Zone,3135.19,5364.23,9992.96
05-07-2023,East Zone,2760.44,475.13,1627.41
05-07-2023,West Zone,549.72,2225.54,1026.23
05-07-2023,South Zone,444.02,427.82,1697.45
05-07-2023,Central Zone,9250.29,515.92,2010.29
06-07-2023,North Zone,4030.41,835.59,3594.95
06-07-2023,East Zone,293.38,873.96,1514.37
06-07-2023,West Zone,921.72,1806.73,1433.41
06-07-2023,South Zone,6398.55,165.67,128.88
06-07-2023,Central Zone,3712.27,2759.24,8279.06
07-07-2023,North Zone,1479.47,435.58,2102.23
07-07-2023,East Zone,996.1,77.12,6946.8
07-07-2023,West Zone,4220.28,1536.46,681.97
07-07-2023,South Zone,2834.57,4440.98,5451.82
07-07-2023,Central Zone,6368.68,1275.09,214.96
08-07-2023,North Zone,4101.05,2835.65,3879.61
08-07-2023,East Zone,1910.2,1625.75,112.49
08-07-2023,West Zone,79.01,1842.73,5147.64
08-07-2023,South Zone,10272.12,1086.41,6762.09
08-07-2023,Central Zone,938.84,1329.11,2289.93
09-07-2023,North Zone,131.05,273.05,1191.1
09-07-2023,East Zone,9908.49,3334.89,714.6
09-07-2023,West Zone,1759.12,846.71,5203.81
09-07-2023,South Zone,1279.17,882.03,1704.73
09-07-2023,Central Zone,41.62,1731.97,3818.67
10-07-2023,North Zone,2792.66,2521.6,3908.92
10-07-2023,East Zone,1010.81,1567.1,636.84
10-07-2023,West Zone,6337.16,669.54,753.74
10-07-2023,South Zone,39.43,713.66,1229.16
10-07-2023,Central Zone,3802.15,375.14,7893.48
11-07-2023,North Zone,119.9,52.02,923.92
11-07-2023,East Zone,3365.4,2427.94,5186.73
11-07-2023,West Zone,8202.53,90.73,2345.05
11-07-2023,South Zone,118.79,272.72,2907.79
11-07-2023,Central Zone,291.82,2547.07,776.87
12-07-2023,North Zone,1118.3,1180.15,113.69
12-07-2023,East Zone,6238.32,2624.96,1392.47
12-07-2023,West Zone,817.87,1625.86,2355.58
12-07-2023,South Zone,1474.96,65.04,939.87
12-07-2023,Central Zone,2212.48,222.16,7024.65
13-07-2023,North Zone,6496.65,320.88,2490.16
13-07-2023,East Zone,481.25,1684.52,12377.27
13-07-2023,West Zone,5987.63,4350.02,3951.52
13-07-2023,South Zone,2432.27,3250.24,1745.81
13-07-2023,Central Zone,4045.92,595.66,438.98
14-07-2023,North Zone,1774.07,755.77,5960.25
14-07-2023,East Zone,3510.97,1679.5,931.04
14-07-2023,West Zone,1186.98,3150.63,2954.93
14-07-2023,South Zone,9764.47,3473.61,3863.58
14-07-2023,Central Zone,1159.02,984.52,3875.82
15-07-2023,North Zone,3431.27,600.98,2539.28
15-07-2023,East Zone,2336.18,1177.81,207.45
15-07-2023,West Zone,219.58,1213.07,7185.23
15-07-2023,South Zone,2293.63,4044.98,5359
15-07-2023,Central Zone,6623.93,769.67,587.98
16-07-2023,North Zone,2150.04,1306.02,1253.98
16-07-2023,East Zone,1038.39,1040.73,210.15
16-07-2023,West Zone,1683.84,2137.7,8268.17
16-07-2023,South Zone,4251.21,691.35,2317.57
16-07-2023,Central Zone,3150.67,61.48,778.02
17-07-2023,North Zone,235,1327.77,4007.97
17-07-2023,East Zone,1514.84,539.91,235.96
17-07-2023,West Zone,442.88,2253.08,4601.3
17-07-2023,South Zone,7668.16,308.06,2354.35
17-07-2023,Central Zone,2682.68,3048.6,186.36
18-07-2023,North Zone,338.13,1957.18,1317.32
18-07-2023,East Zone,1142.12,646.36,2079.74
18-07-2023,West Zone,325.62,258.57,2238.28
18-07-2023,South Zone,1850.1,2642.91,3058.46
18-07-2023,Central Zone,6924.32,571.85,2464.41
19-07-2023,North Zone,190.01,670.35,2133.81
19-07-2023,East Zone,497.1,4324.48,3550.88
19-07-2023,West Zone,855.9,250.85,42.95
19-07-2023,South Zone,2690.71,1068.5,6641.01
19-07-2023,Central Zone,10110.45,865.71,1163.26
20-07-2023,North Zone,4847.52,1853.91,590.01
20-07-2023,East Zone,628.47,1067.29,1185.89
20-07-2023,West Zone,3468.99,3460.1,4969.23
20-07-2023,South Zone,2277.39,307.13,4429.27
20-07-2023,Central Zone,1895.59,978.62,3001.26
21-07-2023,North Zone,6586.56,571.59,1054.1
21-07-2023,East Zone,2444.42,2215.88,1405.34
21-07-2023,West Zone,406.69,3412.61,7368.99
21-07-2023,South Zone,496.81,1093.32,4406.54
21-07-2023,Central Zone,7028.95,1328.71,1177.75
22-07-2023,North Zone,349.67,2350.88,2613.19
22-07-2023,East Zone,620.69,3022.69,3013.26
22-07-2023,West Zone,4428.28,2127.8,1294.88
22-07-2023,South Zone,1062.52,442.07,5365.69
22-07-2023,Central Zone,7316.36,111.74,1030.53
23-07-2023,North Zone,2276.84,568.02,3587.91
23-07-2023,East Zone,2787.71,2317.39,663.76
23-07-2023,West Zone,582.89,1908.78,5581.31
23-07-2023,South Zone,120.93,1699.89,826.09
23-07-2023,Central Zone,6027.67,182.23,192.65
24-07-2023,North Zone,266.36,1029.91,524.4
24-07-2023,East Zone,3541.59,51.66,3122.04
24-07-2023,West Zone,2672.16,2062.42,4403.14
24-07-2023,South Zone,2532.35,549.28,175.08
24-07-2023,Central Zone,1234.33,2389.81,1972.1
25-07-2023,North Zone,5872.87,864.27,5545.19
25-07-2023,East Zone,2130.87,63.35,2707.18
25-07-2023,West Zone,682.73,170.52,1962.8
25-07-2023,South Zone,240.1,2761.66,704.18
25-07-2023,Central Zone,1745.93,2372.47,436.23
26-07-2023,North Zone,4774.13,1348.97,4254.37
26-07-2023,East Zone,1268.54,675.22,3522.96
26-07-2023,West Zone,6909.59,356.16,4815.28
26-07-2023,South Zone,586.69,2542.82,832.33
26-07-2023,Central Zone,3254.98,1915.43,2691.14
27-07-2023,North Zone,3309.1,39.82,1417.31
27-07-2023,East Zone,7399.49,299.16,9356.15
27-07-2023,West Zone,539.78,1815.6,1051.74
27-07-2023,South Zone,7.21,2719.01,1042.81
27-07-2023,Central Zone,3281.39,1449.33,654.09
28-07-2023,North Zone,1133.38,435.52,901.97
28-07-2023,East Zone,5882.32,1181.5,2172.74
28-07-2023,West Zone,232.1,498.14,1223.7
28-07-2023,South Zone,4680.44,3533.75,7333.45
28-07-2023,Central Zone,3437.55,1693.28,3212.32
29-07-2023,North Zone,1216.29,1786.51,6639.01
29-07-2023,East Zone,4516.11,519.14,152.74
29-07-2023,West Zone,4642.63,2455.15,5033.71
29-07-2023,South Zone,503.25,2839.72,3426.63
29-07-2023,Central Zone,8088.43,3597.97,4905.28
30-07-2023,North Zone,5725.23,4679.74,12281.55
30-07-2023,East Zone,2221.17,163.54,806.65
30-07-2023,West Zone,2305.8,1816.11,1452.35
30-07-2023,South Zone,3224.76,1780.84,2604.76
30-07-2023,Central Zone,6426.43,715.44,1326.56
31-07-2023,North Zone,5252.78,835.67,3870.24
31-07-2023,East Zone,881.42,96.99,1513.6
31-07-2023,West Zone,3767.34,1332.51,10.19
31-07-2023,South Zone,578.11,1549.54,4682.02
31-07-2023,Central Zone,1689.32,1443.42,1429.38
01-08-2023,North Zone,5961.38,429.51,2389.55
01-08-2023,East Zone,35.33,313.85,1466.03
01-08-2023,West Zone,5467.35,3993.01,1964.08
01-08-2023,South Zone,4670.13,3875.67,8174.46
01-08-2023,Central Zone,496.59,988.26,1202.6
