IDENTIFIER,TITLE
IFCAISPDDP11A,International Passengers Departing from India through Indian carriers (Annual)
IFCAISPDDP11M,International Passengers Departing from India through Indian carriers (Monthly)
IFCAISPDTT11A,Total International Passengers (Arrivals plus Departures) through Indian carriers (Annual)
IFCAISPIAR11A,International Passengers Arriving into India through International carriers (Annual)
IFCAISPIAR11M,International Passengers Arriving into India through International carriers (Monthly)
IFCAISPIDP11A,International Passengers Departing from India through International carriers (Annual)
IFCAISPIDP11M,International Passengers Departing from India through International carriers (Monthly)
IFCAISPITT11A,Total International Passengers (Arrivals plus Departures) through International carriers (Annual)
IFCAISPITT11M,Total International Passengers (Arrivals plus Departures) through International carriers (Monthly)
IFCAISPNTA11A,Net International Passengers Arriving into India (Annual)
IFCAISPNTA11M,Net International Passengers Arriving into India (Monthly)
IFCAISPSKM11A,Number of International Passenger Kilometers on Scheduled Flights of Indian Airlines (Annual)
IFCAISPSKM11M,Number of International Passenger Kilometers on Scheduled Flights of Indian Airlines (Monthly)
IFCAISPTAR11A,Total International Passengers Arriving into India (Annual)
IFCAISPTAR11M,Total International Passengers Arriving into India (Monthly)
IFCAISPTDP11A,Total International Passengers Departing from India (Annual)
IFCAISPTDP11M,Total International Passengers Departing from India (Monthly)
IFCAISPTTT11A,Total International Passengers Arriving into or Departing from India (Annual)
IFCAISPTTT11M,Total International Passengers Arriving into or Departing from India (Monthly)
IFIRASCAPC11A,Indian Railways - Capital at Charge
IFIRASORTO11A,Indian Railways - Operating Ratio
ENPTNAPEXP11A,Exports of Petroleum Products (Volume) - Naphtha (Annual)
ENPTOTRCON11A,Consumption of Petroleum Products - Others (Annual)
ENPTPRDEXP11M,"Exports of All Petroleum Products (Volume, Monthly)"
ENPTPRDIMP11A,"Imports of All Petroleum Products (Volume, Annual)"
IFCAASAVKM11A,Number of Total Passenger Kilometers available on Scheduled Flights of Domestic Indian Airlines (Annual)
IFCAASFLKM11M,Number of Total Scheduled Flight Kilometers of Domestic Indian Airlines (Monthly)
IFCAASPASS11M,Number of Total Passengers on Scheduled Flights of Domestic Indian Airlines (Monthly)
IFCADSCRGO11M,Total Domestic Cargo carried on Scheduled Flights (Monthly)
IFCAISCRGO11A,Total International Cargo carried on Scheduled Flights of Indian Airlines (Annual)
IFCAISLOAD11A,Average International Passenger Load Factor on Scheduled Flights of Indian Airlines (Annual)
IFCAISPDTT11M,Total International Passengers (Arrivals plus Departures) through Indian carriers (Monthly)
IFCADSNFLP11A,Number of Domestic Scheduled Flights by Private Airlines (Annual)
IFIRASRCAC11A,Indian Railways - Net Revenue to Capital at Charge ratio
IFIRASTOTI11A,Indian Railways - Total Investment
IFIRIFADTG11A,Indian Railways - Average number of goods trains run daily
IFIRIFADTP11A,Indian Railways - Average number of passenger trains run daily
IFIRIFAVDT11A,Indian Railways - Average number of trains run daily
IFIRIFCOCH11A,Indian Railways - Number of coaching stock
IFIRIFDLOC11A,Indian Railways - Number of locomotives (Diesel)
IFIRIFELOC11A,Indian Railways - Number of locomotives (Electric)
IFIRIFERLB11A,Indian Railways - Electrified Route Length (Broad Gauge)
IFIRIFERLM11A,Indian Railways - Electrified Route Length (Meter Gauge)
IFIRIFERUL11A,Indian Railways - Electrified Route Length
IFIRIFLOCO11A,Indian Railways - Number of locomotives
IFIRIFRULB11A,Indian Railways - Total Route Length (Broad Gauge)
IFIRIFRULM11A,Indian Railways - Total Route Length (Meter Gauge)
IFIRIFSLOC11A,Indian Railways - Number of locomotives (Steam)
IFIRIFSTAF11A,Indian Railways - Number of employees
IFIRIFSTAT11A,Indian Railways - Number of Stations
IFIRIFSTFC11A,Indian Railways - Number of employees (Group C)
IFIRIFSTFD11A,Indian Railways - Number of employees (Group D)
IFIRIFSTFO11A,Indian Railways - Number of employees (Group A and B)
IFIRIFTRKL11A,Indian Railways - Total Track Length
IFIRIFTRLB11A,Indian Railways - Total Track Length (Broad Gauge)
IFIRIFTRLM11A,Indian Railways - Total Track Length (Meter Gauge)
IFIRIFTRLN11A,Indian Railways - Total Track Length (Narrow Gauge)
IFIRIFWAGN11A,Indian Railways - Number of wagons
IFIRISEDEP11A,Indian Railways - Transfer to Depreciation Reserve (Annual)
IFIRISEDIV11A,Indian Railways - Dividend to General Revenues (Annual)
IFIRISEOWE11A,Indian Railways - Ordinary Working Expenses (Annual)
IFIRISEOWE11M,Indian Railways - Ordinary Working Expenses (Monthly)
IFIRISEPEN11A,Indian Railways - Transfer to Pension Fund (Annual)
IFIRISEREV11A,Indian Railways - Revenue Expenditure (Annual)
IFIRIFROUL11A,Indian Railways - Total Route Length
IFIRIFRULN11A,Indian Railways - Total Route Length (Narrow Gauge)
IFIRISETWE11A,Indian Railways - Total Working Expenses (Annual)
IFIRISFINE11A,Indian Railways - Fines collected from ticketless travel
IFIRISRFRE11A,Indian Railways - Earnings from Goods traffic (Annual)
IFIRISRFRE11M,Indian Railways - Earnings from Goods traffic (Monthly)
IFIRISRGRS11A,Indian Railways - Gross Earnings (Annual)
IFIRISRGRS11M,Indian Railways - Gross Earnings (Monthly)
IFIRISRGTR11A,Indian Railways - Gross Traffic Receipts (Annual)
IFIRISRMIS11A,Indian Railways - Net Miscellaneous Earnings (Annual)
IFIRISRNRR11A,Indian Railways - Net Revenue Receipts (Annual)
IFIRISRNTK11A,Indian Railways - Average revenue per tonne-kilometre
IFIRISRNTR11A,Indian Railways - Net Traffic Receipts (Annual)
IFIRISROTC11A,Indian Railways - Other Coaching Earnings (Annual)
IFIRISROTC11M,Indian Railways - Other Coaching Earnings (Monthly)
IFIRISRPKM11A,Indian Railways - Average revenue per passenger per kilometre
IFIRISRREV11A,Indian Railways - Revenue Receipts (Annual)
IFIRISRRPA11A,Indian Railways - Earnings from Passenger traffic (Annual)
IFIRISRRPA11M,Indian Railways - Earnings from Passenger traffic (Monthly)
IFIRISRRPN11A,Indian Railways - Earnings from Passenger traffic (Non-Suburban) (Annual)
IFIRISRSPK11A,Indian Railways - Average revenue per suburban passenger per kilometre
IFIRISRSUN11A,Indian Railways - Sundry Earnings (Annual)
IFIRISRSUN11M,Indian Railways - Sundry Earnings (Monthly)
IFIRISSURP11A,Indian Railways - Net Surplus (Annual)
IFIRTRDFRE11A,Indian Railways - Average lead distance per tonne of revenue earning freight traffic
IFIRTRDNPS11A,Indian Railways - Average distance travelled (non-suburban passenger)
IFIRTRDPAS11A,Indian Railways - Average distance travelled (all passengers)
IFIRTRDSPS11A,Indian Railways - Average distance travelled (suburban passenger)
IFIRTRKFRE11A,Indian Railways - Total net tonne kilometres (NTKms) (Annual)
IFIRTRKPAS11A,Indian Railways - Number of Passenger Kilometres (Annual)
IFIRTRKSPS11A,Indian Railways - Number of Passenger Kilometres (Suburban) (Annual)
IFIRTRVCEM11M,Indian Railways - Total volume of revenue earning freight - Cement (Monthly)
IFIRTRVCOL11M,Indian Railways - Total volume of revenue earning freight - Coal (Monthly)
IFIRTRVDCL11M,Indian Railways - Total volume of revenue earning freight - Domestic Coal (Monthly)
IFIRTRVDCO11M,Indian Railways - Total volume of revenue earning freight - Domestic Containers (Monthly)
IFIRTRVECO11M,Indian Railways - Total volume of revenue earning freight - EXIM Containers (Monthly)
IFIRTRVFER11M,Indian Railways - Total volume of revenue earning freight - Fertilisers (Monthly)
IFIRTRVFGR11M,Indian Railways - Total volume of revenue earning freight - Foodgrains (Monthly)
IFIRTRVCON11M,Indian Railways - Total volume of revenue earning freight - Containers (Monthly)
IFIRTRVFRE11A,Indian Railways - Total volume of revenue earning freight (Annual)
IFIRTRVFRE11M,Indian Railways - Total volume of revenue earning freight (Monthly)
IFIRTRVICL11M,Indian Railways - Total volume of revenue earning freight - Imported Coal (Monthly)
IFIRTRVIOE11M,Indian Railways - Total volume of revenue earning freight - Iron ore for Export (Monthly)
IFIRTRVIOO11M,Indian Railways - Total volume of revenue earning freight - Iron Ore for Other uses (Monthly)
IFIRTRVIOR11M,Indian Railways - Total volume of revenue earning freight - Iron Ore (Monthly)
IFIRTRVIOS11M,Indian Railways - Total volume of revenue earning freight - Iron ore for Steel plants (Monthly)
IFIRTRVNPS11A,Indian Railways - Number of Passengers carried (Non-Suburban) (Annual)
IFIRTRVNPS11M,Indian Railways - Number of Passengers carried (Non-Suburban) (Monthly)
IFIRTRVOGD11M,Indian Railways - Total volume of revenue earning freight - Other Goods (Monthly)
IFIRTRVPAS11M,Indian Railways - Number of Passengers carried (Monthly)
IFIRTRVPET11M,Indian Railways - Total volume of revenue earning freight - Petroleum (Monthly)
IFIRTRVPIS11M,"Indian Railways - Total volume of revenue earning freight - Pig Iron, Finished Steel (Monthly)"
IFIRTRVSPS11A,Indian Railways - Number of Passengers carried (Suburban) (Annual)
IFIRTRVSPS11M,Indian Railways - Number of Passengers carried (Suburban) (Monthly)
IFIRTRVSRM11M,Indian Railways - Total volume of revenue earning freight - Steel Raw Material (excl Iron Ore) (Monthly)
IFIRTRWOTK11A,Indian Railways - Number of ticketless persons travelling
IFIWCMTGJW11A,Cargo Moved on Inland Waterways - Gujarat Waterways
IFIWCMTGOW11A,Cargo Moved on Inland Waterways - Goa Waterways
IFIWCMTICW11A,Cargo Moved on Inland Waterways - Icchamati and Other Waterways
IFIWCMTMHW11A,Cargo Moved on Inland Waterways - Maharashtra Waterways
IFIWCMTNW111A,Cargo Moved on Inland Waterways - National Waterway 1
IFIWCMTNW211A,Cargo Moved on Inland Waterways - National Waterway 2
IFIWCMTNW311A,Cargo Moved on Inland Waterways - National Waterway 3
IFIWCMTNW411A,Cargo Moved on Inland Waterways - National Waterway 4
IFIWCMTNWT11A,Cargo Moved on Inland Waterways - All National Waterways
IFIWCMTSBM11A,"Cargo Carried on Inland National Waterways 1, 2, 3 - Building Materials"
IFIWCMTSCH11A,"Cargo Carried on Inland National Waterways 1, 2, 3 - Chemicals"
IFIWCMTSCO11A,"Cargo Carried on Inland National Waterways 1, 2, 3 - Coal"
IFIWCMTSFE11A,"Cargo Carried on Inland National Waterways 1, 2, 3 - Fertilisers"
IFIWCMTSFI11A,"Cargo Carried on Inland National Waterways 1, 2, 3 - Food Items"
IFIWCMTSIS11A,"Cargo Carried on Inland National Waterways 1, 2, 3 - Iron and Steel"
IFIWCMTSOC11A,"Cargo Carried on Inland National Waterways 1, 2, 3 - Other Commodities"
IFIWCMTSOM11A,"Cargo Carried on Inland National Waterways 1, 2, 3 - Ores, Minerals"
IFIWCMTSPP11A,"Cargo Carried on Inland National Waterways 1, 2, 3 - Petroleum Products"
IFIWCMTSTT11A,"Cargo Carried on Inland National Waterways 1, 2, 3 - Total"
IFIWCMTSUW11A,Cargo Moved on Inland Waterways - Sunderban Waterways
IFIWCMTTIW11A,Cargo Moved on All Inland Waterways
IFIWCTKGJW11A,Cargo Moved on Inland Waterways (tonne-kilometers) - Gujarat Waterways
IFIWCTKGOW11A,Cargo Moved on Inland Waterways (tonne-kilometers) - Goa Waterways
IFIWCTKMHW11A,Cargo Moved on Inland Waterways (tonne-kilometers) - Maharashtra Waterways
IFIWCTKNW111A,Cargo Moved on Inland Waterways (tonne-kilometers) - National Waterway 1
IFIWCTKNW211A,Cargo Moved on Inland Waterways (tonne-kilometers) - National Waterway 2
IFIWCTKNW311A,Cargo Moved on Inland Waterways (tonne-kilometers) - National Waterway 3
IFIWCTKNW411A,Cargo Moved on Inland Waterways (tonne-kilometers) - National Waterway 4
IFIWCTKNWT11A,Cargo Moved on Inland Waterways (tonne-kilometers) - All National Waterways
IFIWCTKSUW11A,Cargo Moved on Inland Waterways (tonne-kilometers) - Sunderban Waterways
IFIWCTKTIW11A,Cargo Moved on All Inland Waterways (tonne-kilometers)
IFRDLENALL11A,Length of All Roads
IFRDLENANH11A,Length of Road Construction/Upgradation awarded during the year by NHAI
IFRDLENCNH11A,Length of Roads Constructured/Upgraded during the year by NHAI
IFRDLENCNH11M,Length of Roads Constructured/Upgraded during the month by NHAI
IFRDLENCSP11M,Length of Roads Constructured/Upgraded during the month by State PWD or BRO
IFRDLENCUP11M,Length of Roads Constructured/Upgraded during the month
IFRDLENDNH11A,Length of National Highways - Double Lane
IFRDLENDSH11A,Length of State Highways - Double Lane
IFRDLENMNH11A,Length of National Highways - Multi Lane
IFRDLENMSH11A,Length of State Highways - Multi Lane
IFRDLENNHW11A,Length of National Highways
IFIRTRVPAS11A,Indian Railways - Number of Passengers carried (Annual)
IFIWCTKICW11A,Cargo Moved on Inland Waterways (tonne-kilometers) - Icchamati and Other Waterways
IFRDLENRUR11A,Length of Rural Roads
IFRDLENSHW11A,Length of State Highways
IFRDLENSNH11A,Length of National Highways - Single Lane
IFRDLENSSH11A,Length of State Highways - Single Lane
IFRDLENURB11A,Length of Urban Roads
IFSHNSHCST11A,Indian Shipping Fleet (number) - Coastal
IFSHNSHDCB11A,Indian Shipping Fleet (number) - Dry Cargo Bulk
IFSHNSHDCL11A,Indian Shipping Fleet (number) - Dry Cargo Liner
IFSHNSHOBC11A,Indian Shipping Fleet (number) - Ore/Oil Bulk Carrier
IFSHNSHOFS11A,Indian Shipping Fleet (number) - Off-shore Supply Vessel
IFSHNSHOVS11A,Indian Shipping Fleet (number) - Overseas
IFSHNSHPCC11A,Indian Shipping Fleet (number) - Passenger cum Cargo Vessel
IFSHNSHSOF11A,Indian Shipping Fleet (number) - Specialised Offshore Services Vessel
IFSHNSHTOT11A,Indian Shipping Fleet (number) - Total
IFSHTSHCST11A,Indian Shipping Fleet (gross tonnage) - Coastal
IFSHTSHDCB11A,Indian Shipping Fleet (gross tonnage) - Dry Cargo Bulk
IFSHTSHDCL11A,Indian Shipping Fleet (gross tonnage) - Dry Cargo Liner
IFSHTSHOBC11A,Indian Shipping Fleet (gross tonnage) - Ore/Oil Bulk Carrier
IFSHTSHOFS11A,Indian Shipping Fleet (gross tonnage) - Off-shore Supply Vessel
IFSHTSHOTK11A,Indian Shipping Fleet (gross tonnage) - Oil Tanker
IFSHTSHOVS11A,Indian Shipping Fleet (gross tonnage) - Overseas
IFSHTSHSOF11A,Indian Shipping Fleet (gross tonnage) - Specialised Offshore Services Vessel
IFSHTSHTCR11A,Indian Shipping Fleet (gross tonnage) - Timber Carrier
IFSHTSHTOT11A,Indian Shipping Fleet (gross tonnage) - Total
IFSPAPCCLO11A,Coastal Cargo Handled by All Ports - Loaded
IFSPAPCCTO11A,Coastal Cargo Handled by All Ports
IFSPAPCCUN11A,Coastal Cargo Handled by All Ports - Unloaded
IFSPAPOCLO11A,Overseas Cargo Handled by All Ports - Loaded
IFSPAPOCUN11A,Overseas Cargo Handled by All Ports - Unloaded
IFSPAPTCLO11A,Total Cargo Handled by All Ports - Loaded
IFSPAPTCUN11A,Total Cargo Handled by All Ports - Unloaded
IFSPAPTOTC11A,Total Cargo Handled by All Ports
IFSPCHCCTO11A,Coastal Cargo Handled by Chennai Port
IFSPCHCCUN11A,Coastal Cargo Handled by Chennai Port - Unloaded
IFSPCHCOLO11A,Total Container Traffic Handled by Chennai Port - Loaded
IFSPCHFDGR11A,Total Cargo Handled by Chennai Port - Foodgrains
IFSPCHFEOR11A,Total Cargo Handled by Chennai Port - Iron Ore
IFSPCHFERT11A,Total Cargo Handled by Chennai Port - Fertiliser
IFSPCHOCLO11A,Overseas Cargo Handled by Chennai Port - Loaded
IFSPCHOCUN11A,Overseas Cargo Handled by Chennai Port - Unloaded
IFSPCHOTRS11A,Total Cargo Handled by Chennai Port - Others
IFSPCHOVTO11A,Overseas Cargo Handled by Chennai Port
IFSPCHRFER11A,Total Cargo Handled by Chennai Port - Fertiliser Raw Material
IFSPCHTCLO11A,Total Cargo Handled by Chennai Port - Loaded
IFSPCHTCUN11A,Total Cargo Handled by Chennai Port - Unloaded
IFSPCHTOCO11A,Total Container Traffic Handled by Chennai Port
IFSPCHTOTC11A,Total Cargo Handled by Chennai Port
IFSPCOCCTO11A,Coastal Cargo Handled by Cochin Port
IFSPCOCCUN11A,Coastal Cargo Handled by Cochin Port - Unloaded
IFSPCOCOAL11A,Total Cargo Handled by Cochin Port - Coal
IFSPCOCOLO11A,Total Container Traffic Handled by Cochin Port - Loaded
IFSPCOCOUN11A,Total Container Traffic Handled by Cochin Port - Unloaded
IFSPCOFDGR11A,Total Cargo Handled by Cochin Port - Foodgrains
IFSPCOFEOR11A,Total Cargo Handled by Cochin Port - Iron Ore
IFSPCOFERT11A,Total Cargo Handled by Cochin Port - Fertiliser
IFSPCOOCLO11A,Overseas Cargo Handled by Cochin Port - Loaded
IFSPCOOCUN11A,Overseas Cargo Handled by Cochin Port - Unloaded
IFSPCOOTRS11A,Total Cargo Handled by Cochin Port - Others
IFSPCOOVTO11A,Overseas Cargo Handled by Cochin Port
IFSPCOTCLO11A,Total Cargo Handled by Cochin Port - Loaded
IFSPCOTCUN11A,Total Cargo Handled by Cochin Port - Unloaded
IFSPCOTOCO11A,Total Container Traffic Handled by Cochin Port
IFSPENCCLO11A,Coastal Cargo Handled by Kamarajar (Ennore) Port - Loaded
IFSPENCCTO11A,Coastal Cargo Handled by Kamarajar (Ennore) Port
IFSPENCCUN11A,Coastal Cargo Handled by Kamarajar (Ennore) Port - Unloaded
IFSPENCOAL11A,Total Cargo Handled by Kamarajar (Ennore) Port - Coal
IFSPENCOLO11A,Total Container Traffic Handled by Kamarajar (Ennore) Port - Loaded
IFIRISRNPK11A,Indian Railways - Average revenue per non-suburban passenger per kilometre
IFIRISRRPS11A,Indian Railways - Earnings from Passenger traffic (Suburban) (Annual)
IFIRTRKNPS11A,Indian Railways - Number of Passenger Kilometres (Non-Suburban) (Annual)
IFSHNSHOTK11A,Indian Shipping Fleet (number) - Oil Tanker
IFSHNSHTCR11A,Indian Shipping Fleet (number) - Timber Carrier
IFSHTSHPCC11A,Indian Shipping Fleet (gross tonnage) - Passenger cum Cargo Vessel
IFSPAPOVTO11A,Overseas Cargo Handled by All Ports
IFSPCHCCLO11A,Coastal Cargo Handled by Chennai Port - Loaded
IFSPCHCOAL11A,Total Cargo Handled by Chennai Port - Coal
IFSPCHPETR11A,Total Cargo Handled by Chennai Port - POL (Crude and Products)
IFSPCOCCLO11A,Coastal Cargo Handled by Cochin Port - Loaded
IFSPCOPETR11A,Total Cargo Handled by Cochin Port - POL (Crude and Products)
IFSPCORFER11A,Total Cargo Handled by Cochin Port - Fertiliser Raw Material
IFSPCOTOTC11A,Total Cargo Handled by Cochin Port
IFSPENCOUN11A,Total Container Traffic Handled by Kamarajar (Ennore) Port - Unloaded
IFSPENFDGR11A,Total Cargo Handled by Kamarajar (Ennore) Port - Foodgrains
IFSPENFEOR11A,Total Cargo Handled by Kamarajar (Ennore) Port - Iron Ore
IFSPENFERT11A,Total Cargo Handled by Kamarajar (Ennore) Port - Fertiliser
IFSPENOCLO11A,Overseas Cargo Handled by Kamarajar (Ennore) Port - Loaded
IFSPENOCUN11A,Overseas Cargo Handled by Kamarajar (Ennore) Port - Unloaded
IFSPENOTRS11A,Total Cargo Handled by Kamarajar (Ennore) Port - Others
IFSPENOVTO11A,Overseas Cargo Handled by Kamarajar (Ennore) Port
IFSPENPETR11A,Total Cargo Handled by Kamarajar (Ennore) Port - POL (Crude and Products)
IFSPENRFER11A,Total Cargo Handled by Kamarajar (Ennore) Port - Fertiliser Raw Material
IFSPENTCLO11A,Total Cargo Handled by Kamarajar (Ennore) Port - Loaded
IFSPENTCUN11A,Total Cargo Handled by Kamarajar (Ennore) Port - Unloaded
IFSPENTOCO11A,Total Container Traffic Handled by Kamarajar (Ennore) Port
IFSPENTOTC11A,Total Cargo Handled by Kamarajar (Ennore) Port
IFSPJNCCLO11A,Coastal Cargo Handled by JNPT Port - Loaded
IFSPJNCCTO11A,Coastal Cargo Handled by JNPT Port
IFSPJNCCUN11A,Coastal Cargo Handled by JNPT Port - Unloaded
IFSPJNCOAL11A,Total Cargo Handled by JNPT Port - Coal
IFSPJNCOLO11A,Total Container Traffic Handled by JNPT Port - Loaded
IFSPJNCOUN11A,Total Container Traffic Handled by JNPT Port - Unloaded
IFSPJNFDGR11A,Total Cargo Handled by JNPT Port - Foodgrains
IFSPJNFEOR11A,Total Cargo Handled by JNPT Port - Iron Ore
IFSPJNFERT11A,Total Cargo Handled by JNPT Port - Fertiliser
IFSPJNOCLO11A,Overseas Cargo Handled by JNPT Port - Loaded
IFSPJNOCUN11A,Overseas Cargo Handled by JNPT Port - Unloaded
IFSPJNOTRS11A,Total Cargo Handled by JNPT Port - Others
IFSPJNOVTO11A,Overseas Cargo Handled by JNPT Port
IFSPJNPETR11A,Total Cargo Handled by JNPT Port - POL (Crude and Products)
IFSPJNRFER11A,Total Cargo Handled by JNPT Port - Fertiliser Raw Material
IFSPJNTCLO11A,Total Cargo Handled by JNPT Port - Loaded
IFSPJNTCUN11A,Total Cargo Handled by JNPT Port - Unloaded
IFSPJNTOCO11A,Total Container Traffic Handled by JNPT Port
IFSPJNTOTC11A,Total Cargo Handled by JNPT Port
IFSPKACCLO11A,Coastal Cargo Handled by Deendayal (Kandla) Port - Loaded
IFSPKACCTO11A,Coastal Cargo Handled by Deendayal (Kandla) Port
IFSPKACCUN11A,Coastal Cargo Handled by Deendayal (Kandla) Port - Unloaded
IFSPKACOAL11A,Total Cargo Handled by Deendayal (Kandla) Port - Coal
IFSPKACOUN11A,Total Container Traffic Handled by Deendayal (Kandla) Port - Unloaded
IFSPKAFEOR11A,Total Cargo Handled by Deendayal (Kandla) Port - Iron Ore
IFSPKAOCLO11A,Overseas Cargo Handled by Deendayal (Kandla) Port - Loaded
IFSPKAOCUN11A,Overseas Cargo Handled by Deendayal (Kandla) Port - Unloaded
IFSPKAOTRS11A,Total Cargo Handled by Deendayal (Kandla) Port - Others
IFSPKAOVTO11A,Overseas Cargo Handled by Deendayal (Kandla) Port
IFSPKAPETR11A,Total Cargo Handled by Deendayal (Kandla) Port - POL (Crude and Products)
IFSPKARFER11A,Total Cargo Handled by Deendayal (Kandla) Port - Fertiliser Raw Material
IFSPKATCLO11A,Total Cargo Handled by Deendayal (Kandla) Port - Loaded
IFSPKATCUN11A,Total Cargo Handled by Deendayal (Kandla) Port - Unloaded
IFSPCHCOUN11A,Total Container Traffic Handled by Chennai Port - Unloaded
IFSPKACOLO11A,Total Container Traffic Handled by Deendayal (Kandla) Port - Loaded
IFSPKAFDGR11A,Total Cargo Handled by Deendayal (Kandla) Port - Foodgrains
IFSPKAFERT11A,Total Cargo Handled by Deendayal (Kandla) Port - Fertiliser
IFSPKATOCO11A,Total Container Traffic Handled by Deendayal (Kandla) Port
IFSPKATOTC11A,Total Cargo Handled by Deendayal (Kandla) Port
IFSPKOCCLO11A,Coastal Cargo Handled by Kolkata/Haldia Port - Loaded
IFSPKOCCTO11A,Coastal Cargo Handled by Kolkata/Haldia Port
IFSPKOCCUN11A,Coastal Cargo Handled by Kolkata/Haldia Port - Unloaded
IFSPKOCOAL11A,Total Cargo Handled by Kolkata/Haldia Port - Coal
IFSPKOCOLO11A,Total Container Traffic Handled by Kolkata/Haldia Port - Loaded
IFSPKOCOUN11A,Total Container Traffic Handled by Kolkata/Haldia Port - Unloaded
IFSPKOFDGR11A,Total Cargo Handled by Kolkata/Haldia Port - Foodgrains
IFSPKOFEOR11A,Total Cargo Handled by Kolkata/Haldia Port - Iron Ore
IFSPKOFERT11A,Total Cargo Handled by Kolkata/Haldia Port - Fertiliser
IFSPKOOCLO11A,Overseas Cargo Handled by Kolkata/Haldia Port - Loaded
IFSPKOOCUN11A,Overseas Cargo Handled by Kolkata/Haldia Port - Unloaded
IFSPKOOTRS11A,Total Cargo Handled by Kolkata/Haldia Port - Others
IFSPKOOVTO11A,Overseas Cargo Handled by Kolkata/Haldia Port
IFSPKOPETR11A,Total Cargo Handled by Kolkata/Haldia Port - POL (Crude and Products)
IFSPKORFER11A,Total Cargo Handled by Kolkata/Haldia Port - Fertiliser Raw Material
IFSPKOTCLO11A,Total Cargo Handled by Kolkata/Haldia Port - Loaded
IFSPKOTCUN11A,Total Cargo Handled by Kolkata/Haldia Port - Unloaded
IFSPKOTOCO11A,Total Container Traffic Handled by Kolkata/Haldia Port
IFSPKOTOTC11A,Total Cargo Handled by Kolkata/Haldia Port
IFSPMICCTO11A,Coastal Cargo Handled by Minor Ports
IFSPMICCUN11A,Coastal Cargo Handled by Minor Ports - Unloaded
IFSPMICOAL11M,Total Cargo Handled by Non-Major Ports - Coal (Monthly)
IFSPMICONT11M,Total Cargo Handled by Non-Major Ports - Containers (Monthly)
IFSPMIOCLO11A,Overseas Cargo Handled by Minor Ports - Loaded
IFSPMIOCUN11A,Overseas Cargo Handled by Minor Ports - Unloaded
IFSPMIORES11M,Total Cargo Handled by Non-Major Ports - Ores (Monthly)
IFSPMIOTRC11M,Total Cargo Handled by Non-Major Ports - Other commodities (Monthly)
IFSPMIOVTO11A,Overseas Cargo Handled by Minor Ports
IFSPMITCLO11A,Total Cargo Handled by Minor Ports - Loaded
IFSPMITCUN11A,Total Cargo Handled by Minor Ports - Unloaded
IFSPMITOTC11A,Total Cargo Handled by Minor Ports
IFSPMITOTC11M,Total Cargo Handled by Non-Major Ports (Monthly)
IFSPMJCCLO11A,Coastal Cargo Handled by Major Ports - Loaded
IFSPMJCCOL11M,Total Cargo Handled by Major Ports - Coking Coal (Monthly)
IFSPMJCCTO11A,Coastal Cargo Handled by Major Ports
IFSPMJCCUN11A,Coastal Cargo Handled by Major Ports - Unloaded
IFSPMJCOAL11A,Total Cargo Handled by Major Ports - Coal
IFSPMJCOLO11A,Total Container Traffic Handled by Major Ports - Loaded
IFSPMJCONT11M,Total Cargo Handled by Major Ports - Containers (Monthly)
IFSPMJCOUN11A,Total Container Traffic Handled by Major Ports - Unloaded
IFSPMJFDGR11A,Total Cargo Handled by Major Ports - Foodgrains
IFSPMJFEOR11A,Total Cargo Handled by Major Ports - Iron Ore
IFSPMJFERT11A,Total Cargo Handled by Major Ports - Fertiliser
IFSPMJFFER11M,Total Cargo Handled by Major Ports - Finished Fertilisers (Monthly)
IFSPMJIRON11M,Total Cargo Handled by Major Ports - Iron Ore (Monthly)
IFSPMJOCLO11A,Overseas Cargo Handled by Major Ports - Loaded
IFSPMJOCUN11A,Overseas Cargo Handled by Major Ports - Unloaded
IFSPMJOTRC11M,Total Cargo Handled by Major Ports - Other commodities (Monthly)
IFSPMJOTRS11A,Total Cargo Handled by Major Ports - Others
IFSPMJOVTO11A,Overseas Cargo Handled by Major Ports
IFSPMJPETR11A,Total Cargo Handled by Major Ports - POL (Crude and Products)
IFSPMJPOLP11M,Total Cargo Handled by Major Ports - Petroleum Products (Monthly)
IFSPMJRFER11A,Total Cargo Handled by Major Ports - Fertiliser Raw Material
IFSPMJRFER11M,Total Cargo Handled by Major Ports - Raw Fertilisers (Monthly)
IFSPMJTCLO11A,Total Cargo Handled by Major Ports - Loaded
IFSPMJTCOL11M,Total Cargo Handled by Major Ports - Thermal Coal (Monthly)
IFSPMJTCUN11A,Total Cargo Handled by Major Ports - Unloaded
IFSPMJTOCO11A,Total Container Traffic Handled by Major Ports
IFSPMJTOTC11A,Total Cargo Handled by Major Ports
IFSPMJTOTC11M,Total Cargo Handled by Major Ports (Monthly)
IFSPMMTOTC11M,Total Cargo Handled by Ports (Monthly)
IFSPMNCCLO11A,Coastal Cargo Handled by New Mangalore Port - Loaded
IFSPMNCCTO11A,Coastal Cargo Handled by New Mangalore Port
IFSPMNCCUN11A,Coastal Cargo Handled by New Mangalore Port - Unloaded
IFSPMNCOAL11A,Total Cargo Handled by New Mangalore Port - Coal
IFSPMNCOUN11A,Total Container Traffic Handled by Mangalore Port - Unloaded
IFSPMNFDGR11A,Total Cargo Handled by New Mangalore Port - Foodgrains
IFSPMNFEOR11A,Total Cargo Handled by New Mangalore Port - Iron Ore
IFSPMNFERT11A,Total Cargo Handled by New Mangalore Port - Fertiliser
